City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
388,salem,11.65,78.1667,23.52,52,12,1.15,IN,1676515758
389,alofi,-19.0595,-169.9187,27.94,83,75,3.6,NU,1676516527
390,krasnyy chikoy,50.3643,108.7512,-14.17,90,100,0.94,RU,1676516528
391,svetlyy,54.675,20.1347,2.03,91,100,3.85,RU,1676516528
392,bagdarin,54.4333,113.6,-12.56,84,100,2.03,RU,1676516529
393,mazamari,-11.3258,-74.5308,20.9,97,100,0.7,PE,1676516529
394,suratgarh,29.3167,73.9,20.08,24,84,1.65,IN,1676516530
395,hare bay,48.8499,-54.0148,-4.36,96,76,1.82,CA,1676516530
396,hami,42.8,93.45,1.04,36,83,1.5,CN,1676516530
397,ilebo,-4.3167,20.5833,21.74,97,100,0.47,CD,1676516531
398,veselynove,47.3567,31.2349,-3.21,78,62,2.8,UA,1676516531
399,roma,43.2128,-75.4557,13.79,67,9,0.89,US,1676516532
400,bani,18.2833,-70.3333,22.69,80,1,5.98,DO,1676516532
401,paita,-5.0892,-81.1144,24.93,78,100,2.27,PE,1676516533
402,olafsvik,64.8945,-23.7142,2.66,68,67,7.47,IS,1676516533
403,gualaquiza,-3.4,-78.55,17.52,98,100,0.7,EC,1676516534
404,cherskiy,68.75,161.3,-38.22,97,63,1.69,RU,1676516534
405,maceio,-9.6658,-35.7353,25.69,88,40,1.54,BR,1676516286
406,okhotsk,59.3833,143.3,-19.5,72,100,8.22,RU,1676516535
407,kahului,20.8947,-156.47,25.47,81,45,1.74,US,1676516536
408,high level,58.5169,-117.136,-17.94,78,0,3.09,CA,1676516467
409,manzanillo,20.3433,-77.1167,23.1,80,10,3.97,CU,1676516536
410,hambantota,6.1241,81.1185,23.19,88,0,3.6,LK,1676516537
411,tete,-16.1564,33.5867,23.05,100,75,0.0,MZ,1676516537
412,olinda,-8.0089,-34.8553,27.85,74,75,3.09,BR,1676516235
413,imbituba,-28.24,-48.6703,22.69,91,86,2.03,BR,1676516538
414,vestmannaeyjar,63.4427,-20.2734,3.78,67,98,6.56,IS,1676516539
415,chifeng,42.2683,118.9636,1.28,40,20,4.8,CN,1676516539
416,ulaanbaatar,47.9077,106.8832,-18.93,78,20,0.0,MN,1676516539
417,changping,40.2186,116.2197,0.8,53,0,0.15,CN,1676516540
418,ulladulla,-35.35,150.4667,26.8,52,89,5.57,AU,1676516541
419,villa bruzual,9.3328,-69.1208,25.5,67,88,3.76,VE,1676516541
420,bonavista,48.6499,-53.1147,-4.53,81,16,4.62,CA,1676516541
421,port augusta,-32.5,137.7667,39.43,7,0,5.58,AU,1676516542
422,tocopilla,-22.092,-70.1979,21.93,83,29,0.94,CL,1676516543
423,price,39.5994,-110.8107,-6.6,77,92,2.51,US,1676516413
424,praia,14.9215,-23.5087,20.3,77,20,8.75,CV,1676516543
425,batagay-alyta,67.8006,130.4114,-31.4,83,36,0.89,RU,1676516544
426,belle fourche,44.6714,-103.8522,-10.92,85,70,2.16,US,1676516544
427,verkhnyaya inta,65.9811,60.3094,-9.81,84,100,10.33,RU,1676516545
428,englehart,47.8169,-79.8664,-5.69,86,100,10.29,CA,1676516545
